N;Native;;;Recurrent;;;Shtrassen
;sampleMean;sampleStandardDeviation;geometricMean;sampleMean;sampleStandardDeviation;geometricMean;sampleMean;sampleStandardDeviation;geometricMean
64;0,30;0,14;0,00;0,40;0,15;0,00;0,40;0,15;0,00;
128;2,30;0,14;2,26;3,60;0,15;3,57;3,30;0,14;3,27;
192;9,00;0,40;8,92;16,80;0,61;16,70;25,70;0,96;25,53;
256;22,70;0,63;22,62;32,90;1,40;32,63;26,30;1,03;26,12;
320;41,70;0,38;41,68;86,60;0,32;86,59;164,00;0,20;164,00;
384;72,40;0,21;72,40;126,30;0,32;126,30;164,80;0,31;164,80;
448;112,70;0,38;112,69;169,30;0,14;169,30;167,40;0,15;167,40;
512;297,20;0,39;297,20;235,00;0,72;234,99;170,60;0,53;170,59;
576;282,80;1,10;282,78;558,60;1,14;558,59;1169,30;2,80;1169,27;
640;341,20;0,49;341,20;698,80;0,98;698,79;1166,90;0,79;1166,90;
704;459,40;0,32;459,40;835,10;0,77;835,10;1172,00;0,93;1172,00;
768;800,20;2,56;800,16;1016,90;1,78;1016,88;1171,30;1,20;1171,29;
832;830,60;4,72;830,47;1173,00;1,18;1172,99;1192,40;1,23;1192,39;
896;1183,40;13,49;1182,64;1393,90;3,19;1393,86;1193,50;2,27;1193,48;
960;1437,60;20,38;1436,10;1568,30;1,78;1568,29;1196,00;0,99;1196,00;
1024;5838,30;43,65;5836,70;2071,60;4,32;2071,56;1199,90;1,84;1199,89;
